power	seq	par
7	3365	3245
7	2481	2815
7	2122	2803
7	3098	3242
7	3301	3023
7	3219	3138
7	3452	4927
7	2474	3103
7	3388	3269
7	3051	3003
8	5386	5522
8	6616	6710
8	7299	5657
8	6611	6829
8	5288	4328
8	8537	7843
8	4760	5608
8	6896	6542
8	6905	4267
8	5567	6745
9	10305	21390
9	13539	39491
9	16274	45359
9	9416	11687
9	9145	10326
9	10337	14254
9	10772	11233
9	10783	10651
9	12450	13751
9	10265	12646
10	18952	14102
10	18647	15484
10	20801	15921
10	18898	17607
10	18829	14991
10	18203	14466
10	18641	16944
10	24843	25354
10	21902	22863
10	23797	15634
11	49318	41493
11	45161	38298
11	41649	39432
11	42220	43463
11	42639	43033
11	52979	57549
11	48857	42540
11	46624	39763
11	44253	43678
11	47455	46184
12	101846	65784
12	120703	54010
12	81813	57095
12	79250	60750
12	86026	73191
12	90850	68827
12	94206	77001
12	77173	53040
12	82419	62518
12	76525	53351
13	154270	150230
13	151044	126496
13	148877	170774
13	151378	134095
13	149391	149438
13	160056	143229
13	150859	230438
13	151440	129699
13	154963	135832
13	150525	135530
14	304604	250113
14	304458	214766
14	309326	210894
14	318573	208108
14	309776	225904
14	301530	238877
14	312635	229316
14	305233	209717
14	307579	242697
14	303925	289568
15	640963	551862
15	627897	676841
15	628152	554645
15	628527	590183
15	635474	595480
15	655714	608666
15	633417	544498
15	624114	638762
15	654556	565228
15	654655	548904
16	1560654	1041967
16	1765584	1276863
16	1552389	1100843
16	1504032	960892
16	1437069	951649
16	1663305	983114
16	1527117	1097533
16	1624770	1024017
16	1591961	930728
16	1603637	979637
17	3225526	3304586
17	3299619	2976963
17	3322681	2853988
17	3240220	3126290
17	3250676	3056145
17	3331295	3003522
17	3334310	3339440
17	3273341	3261137
17	3203009	3002518
17	3329761	3185745
18	6546437	4479445
18	6645572	4305914
18	6607313	4421504
18	6703031	4695129
18	6616169	4808448
18	6868245	4827112
18	6588504	4305850
18	6504495	4710839
18	6717517	4189433
18	6827185	4358851
